county,state,household_income,total_population,total_white_population
abbeville county,SC,9423,24374,16986
acadia parish,LA,21555,58200,45812
accomack county,VA,14152,33388,21537
ada county,ID,184806,485246,425267
adair county,IA,3180,7439,7221
adair county,KY,6890,18832,17538
adair county,MO,8847,25339,22986
adair county,OK,6770,19839,7862
adams county,CO,176880,514969,365720
adams county,ID,1687,4321,4070
adams county,IL,27174,65878,60689
adams county,IN,12279,35685,33989
adams county,IA,1529,3697,3544
adams county,MS,11353,29927,12020
adams county,NE,12662,31284,28239
adams county,ND,999,2237,2101
adams county,OH,10163,27564,26646
adams county,PA,39908,103782,95653
adams county,WA,6158,20353,10964
adams county,WI,8783,20505,18729
addison county,VT,14468,37306,34590
adjuntas municipio,PR,5611,18068,15237
aguada municipio,PR,12995,38307,23466
aguadilla municipio,PR,21442,55241,41121
aguas buenas municipio,PR,8917,24567,9983
aibonito municipio,PR,8764,24565,12037
aiken county,SC,66980,168045,114895
aitkin county,MN,6595,15747,14728
alachua county,FL,105003,276171,181316
alamance county,NC,66311,169185,114027
alameda county,CA,581683,1673133,600791
alamosa county,CO,6327,16377,11965
albany county,NY,130754,314679,231936
albany county,WY,16016,37311,32612
albemarle county,VA,43066,111438,89074
alcona county,MI,4795,10138,9694
alcorn county,MS,14027,34964,28873
aleutians east borough,AK,914,3409,497
aleutians west census area,AK,1004,5251,1286
alexander county,IL,1781,5488,3502
alexander county,NC,13496,36491,31989
alexandria city,VA,74224,158185,92945
alfalfa county,OK,1812,5744,4824
alger county,MI,3060,8911,7425
allamakee county,IA,5814,14068,13297
allegan county,MI,44240,119418,108546
allegany county,MD,27563,68684,60234
allegany county,NY,16671,46654,44337
alleghany county,NC,4772,10910,10221
alleghany county,VA,6405,15266,14159
allegheny county,PA,545763,1246116,977296
allen county,IN,149751,381839,289863
allen county,KS,4976,12557,11569
allen county,KY,7629,20604,19844
allen county,OH,40671,102462,83468
allen parish,LA,7687,23085,17268
allendale county,SC,3072,8304,1902
alpena county,MI,12584,28913,27463
alpine county,CA,434,1344,796
amador county,CA,15394,40095,32794
amelia county,VA,5190,13220,9984
amherst county,VA,12538,31381,23792
amite county,MS,5841,12718,7317
anchorage municipality,AK,106695,292545,176279
anderson county,KS,3164,7800,7426
anderson county,KY,9063,23646,22292
anderson county,SC,78836,202223,158601
anderson county,TN,30973,76683,68348
anderson county,TX,16477,58133,39368
andrew county,MO,6880,18023,17005
andrews county,TX,6263,18184,13549
androscoggin county,ME,45770,110378,99565
angelina county,TX,31151,86584,63882
anne arundel county,MD,218682,584064,405112
anoka county,MN,132559,360773,291534
anson county,NC,8381,22388,10387
antelope county,NE,2607,6310,6082
antrim county,MI,10108,23427,22264
apache county,AZ,19443,66473,13893
appanoose county,IA,4920,12310,11820
appling county,GA,6637,18509,13452
appomattox county,VA,6187,16039,12466
aransas county,TX,10452,24149,20967
arapahoe county,CO,247251,651621,437618
archer county,TX,3371,8616,8003
archuleta county,CO,5770,13267,10664
arecibo municipio,PR,31624,88017,44965
arenac county,MI,6292,15009,14305
arkansas county,AR,6595,17273,12295
arlington county,VA,109528,235764,158344
armstrong county,PA,27704,65967,63929
armstrong county,TX,708,1980,1854
aroostook county,ME,28939,67272,63263
arroyo municipio,PR,6147,16183,9284
arthur county,NE,180,472,442
ascension parish,LA,45195,125289,86172
ashe county,NC,11723,26598,25491
ashland county,OH,20531,52658,50463
ashland county,WI,6624,16002,13349
ashley county,AR,7239,19362,13860
ashtabula county,OH,38332,97869,89337
asotin county,WA,9287,22285,20291
assumption parish,LA,8289,21366,14161
atascosa county,TX,15899,48684,37188
atchison county,KS,5874,16382,14490
atchison county,MO,2374,5312,5076
athens county,OH,22381,62933,57195
atkinson county,GA,2968,8269,5718
atlantic county,NJ,105277,273865,168911
atoka county,OK,4886,14080,9968
attala county,MS,6333,18025,9592
audrain county,MO,9032,25223,22546
audubon county,IA,2498,5657,5440
auglaize county,OH,18872,46282,44458
augusta county,VA,29880,76948,70477
aurora county,SD,1047,2649,2499
austin county,TX,11841,30132,22810
autauga county,AL,21856,58239,43755
avery county,NC,6378,17747,16002
avoyelles parish,LA,14446,39880,25951
añasco municipio,PR,8883,25859,15476
baca county,CO,1594,3519,3210
bacon county,GA,3874,11163,8587
bailey county,TX,1952,6968,6041
baker county,FL,8532,28003,22150
baker county,GA,1201,2928,1495
baker county,OR,6976,16539,15122
baldwin county,AL,87190,227131,192034
baldwin county,GA,15948,43876,23314
ballard county,KY,2945,7814,7240
baltimore county,MD,326932,850702,489211
baltimore city,MD,244893,592211,173079
bamberg county,SC,4562,13525,5033
bandera county,TX,8383,20839,17788
banks county,GA,6483,18061,16166
banner county,NE,235,605,562
bannock county,ID,32062,86362,75182
baraga county,MI,3164,8249,6032
barber county,KS,1808,4178,3966
barbour county,AL,9088,25259,11495
barbour county,WV,5813,15600,14531
barceloneta municipio,PR,7847,22836,11655
barnes county,ND,4833,10869,9905
barnstable county,MA,98163,227942,202569
barnwell county,SC,8253,20801,10697
barranquitas municipio,PR,8863,28982,18725
barren county,KY,17307,44277,40297
barron county,WI,18969,46529,43404
barrow county,GA,28087,82138,60466
barry county,MI,24115,62014,59147
